,T,Sigma,r
0,786146.20435374288,7.8340188556495898,1.8147302994931884
1,1178433.1603262606,17.947623934548499,1.8147302994931884
2,1570720.1162987782,31.049404263661099,1.8147302994931884
3,1963007.0722712961,46.327945128056655,1.8147302994931884
4,2355294.0282438137,63.276972738695306,1.8147302994931884
5,2747580.9842163310,81.599365927773903,1.8147302994931884
6,3139867.9401888489,101.11117462204648,1.8147302994931884
7,3532154.8961613667,121.68501454245889,1.8147302994931884
8,3924441.8521338841,143.22168925222940,1.8147302994931884
9,4316728.8081064010,165.63659119931188,1.8147302994931884
10,4709015.7640789198,188.85310485199076,1.8147302994931884
11,5101302.7200514376,212.79925299526872,1.8147302994931884
12,5493589.6760239555,237.40586537712718,1.8147302994931884
13,5885876.6319964742,262.60548558713202,1.8147302994931884
14,6278163.5879689921,288.33165190688794,1.8147302994931884
15,6670450.5439415099,314.51837721778872,1.8147302994931884
16,7062737.4999140287,341.09974023993180,1.8147302994931884
17,7455024.4558865465,368.00954167403978,1.8147302994931884
18,7847311.4118590644,395.18099901414803,1.8147302994931884
19,8239598.3678315822,422.54646400477372,1.8147302994931884
20,8631885.3238041010,450.03715203014286,1.8147302994931884
21,9024172.2797766197,477.58287554352404,1.8147302994931884
22,9416459.2357491367,505.11177512880732,1.8147302994931884
23,9808746.1917216554,532.55004250420086,1.8147302994931884
24,10201033.147694174,559.82163001257049,1.8147302994931884
25,10593320.103666691,586.84794103218735,1.8147302994931884
26,10985607.059639210,613.54749534444454,1.8147302994931884
27,11377894.015611727,639.83556282349514,1.8147302994931884
28,11770180.971584246,665.62375784606820,1.8147302994931884
29,12162467.927556764,690.81958550895149,1.8147302994931884
30,12554754.883529281,715.32592900816655,1.8147302994931884
31,12947041.839501800,739.04046526290335,1.8147302994931884
32,13339328.795474319,761.85499289640461,1.8147302994931884
33,13731615.751446836,783.65465278665624,1.8147302994931884
34,14123902.707419354,804.31701624944378,1.8147302994931884
35,14516189.663391873,823.71100905559797,1.8147302994931884
36,14908476.619364390,841.69563025105106,1.8147302994931884
37,15300763.575336909,858.11841217489462,1.8147302994931884
38,15693050.531309428,872.81355072018812,1.8147302994931884
39,16085337.487281943,885.59961058348358,1.8147302994931884
40,16477624.443254462,896.27667565669583,1.8147302994931884
41,16869911.399226978,904.62276456304585,1.8147302994931884
42,17262198.355199497,910.38925713897822,1.8147302994931884
43,17654485.311172016,913.29496536607371,1.8147302994931884
44,18046772.267144535,913.01830790600536,1.8147302994931884
45,18439059.223117054,909.18676875603308,1.8147302994931884
46,19223633.135062087,889.02102108294855,1.8147302994931884
47,19615920.091034606,871.52246190407391,1.8147302994931884
48,20008207.047007125,848.06429233713095,1.8147302994931884
49,20400494.002979644,817.60885658227994,1.8147302994931884
50,20792780.958952162,778.75942050317178,1.8147302994931884
51,21577354.870897196,666.90657451623736,1.8147302994931884
52,22361928.782842234,475.49319518346857,1.8147302994931884
53,22754215.738814753,304.47378487589043,1.8147302994931884
54,786146.20435374288,8.5139042482837421,1.8974097914174997
55,1178433.1603262606,19.427386353848281,1.8974097914174997
56,1570720.1162987782,33.495483432987669,1.8974097914174997
57,1963007.0722712961,49.848666977514789,1.8974097914174997
58,2355294.0282438137,67.957545873658361,1.8974097914174997
59,2747580.9842163310,87.514920623613506,1.8974097914174997
60,3139867.9401888489,108.32987671814494,1.8974097914174997
61,3532154.8961613667,130.26830197656562,1.8974097914174997
62,3924441.8521338841,153.22399331084040,1.8974097914174997
63,4316728.8081064010,177.10509046801252,1.8974097914174997
64,4709015.7640789198,201.82756548728466,1.8974097914174997
65,5101302.7200514376,227.31191643836249,1.8974097914174997
66,5493589.6760239555,253.48134577115522,1.8974097914174997
67,5885876.6319964742,280.26065315693984,1.8974097914174997
68,6278163.5879689921,307.57548915438724,1.8974097914174997
69,6670450.5439415099,335.35180088038391,1.8974097914174997
70,7062737.4999140287,363.51538498418176,1.8974097914174997
71,7455024.4558865465,391.99150272282179,1.8974097914174997
72,7847311.4118590644,420.70453112647277,1.8974097914174997
73,8239598.3678315822,449.57763388123487,1.8974097914174997
74,8631885.3238041010,478.53244052691963,1.8974097914174997
75,9024172.2797766197,507.48872514447578,1.8974097914174997
76,9416459.2357491367,536.36407697923903,1.8974097914174997
77,9808746.1917216554,565.07355593949967,1.8974097914174997
78,10201033.147694174,593.52932587874943,1.8974097914174997
79,10593320.103666691,621.64025812666557,1.8974097914174997
80,10985607.059639210,649.31149691077826,1.8974097914174997
81,11377894.015611727,676.44397708763393,1.8974097914174997
82,11770180.971584246,702.93388291618544,1.8974097914174997
83,12162467.927556764,728.67203435074032,1.8974097914174997
84,12554754.883529281,753.54318434750928,1.8974097914174997
85,12947041.839501800,777.42520674004015,1.8974097914174997
86,13339328.795474319,800.18814902059785,1.8974097914174997
87,13731615.751446836,821.69311740381988,1.8974097914174997
88,14123902.707419354,841.79095217797123,1.8974097914174997
89,14516189.663391873,860.32063859189941,1.8974097914174997
90,14908476.619364390,877.10738093477948,1.8974097914174997
91,15300763.575336909,891.96024285605256,1.8974097914174997
92,15693050.531309428,904.66922198359850,1.8974097914174997
93,16085337.487281943,915.00157624768940,1.8974097914174997
94,16477624.443254462,922.69714450996344,1.8974097914174997
95,16869911.399226978,927.46229109766875,1.8974097914174997
96,17654485.311172016,926.80879570436832,1.8974097914174997
97,18439059.223117054,909.63967524339921,1.8974097914174997
98,18831346.179089569,893.42152996267828,1.8974097914174997
99,19223633.135062087,871.06973569145805,1.8974097914174997
100,19615920.091034606,841.52215508140773,1.8974097914174997
101,20400494.002979644,754.56263458743206,1.8974097914174997
102,20792780.958952162,692.10096988244948,1.8974097914174997
103,786146.20435374288,9.2180786968119026,1.9800892833418109
104,1178433.1603262606,20.952193740012355,1.9800892833418109
105,1570720.1162987782,36.006722070746044,1.9800892833418109
106,1963007.0722712961,53.454789173552655,1.9800892833418109
107,2355294.0282438137,72.744867035671390,1.9800892833418109
108,2747580.9842163310,93.559827133011993,1.9800892833418109
109,3139867.9401888489,115.70143885207987,1.9800892833418109
110,3532154.8961613667,139.02833472280295,1.9800892833418109
111,3924441.8521338841,163.42673772395199,1.9800892833418109
112,4316728.8081064010,188.79696403237025,1.9800892833418109
113,4709015.7640789198,215.04700017386509,1.9800892833418109
114,5101302.7200514376,242.08923645013004,1.9800892833418109
115,5493589.6760239555,269.83864614638907,1.9800892833418109
116,5885876.6319964742,298.21165624042885,1.9800892833418109
117,6278163.5879689921,327.12536656396202,1.9800892833418109
118,6670450.5439415099,356.49695429940419,1.9800892833418109
119,7062737.4999140287,386.24318171784847,1.9800892833418109
120,7455024.4558865465,416.27996281488362,1.9800892833418109
121,7847311.4118590644,446.52196272720232,1.9800892833418109
122,8239598.3678315822,476.88221289869097,1.9800892833418109
123,8631885.3238041010,507.27172957697809,1.9800892833418109
124,9024172.2797766197,537.59912551551668,1.9800892833418109
125,9416459.2357491367,567.77020574909807,1.9800892833418109
126,9808746.1917216554,597.68753848433789,1.9800892833418109
127,10201033.147694174,627.24999171897628,1.9800892833418109
128,10593320.103666691,656.35222525184577,1.9800892833418109
129,10985607.059639210,684.88412625976389,1.9800892833418109
130,11377894.015611727,712.73017452430599,1.9800892833418109
131,11770180.971584246,739.76872055372337,1.9800892833418109
132,12162467.927556764,765.87115605362385,1.9800892833418109
133,12554754.883529281,790.90095114854967,1.9800892833418109
134,12947041.839501800,814.71252600468347,1.9800892833418109
