,T (K),Sigma (CGS),rayon (m)
0,17262198.35519957,928.9619287868803,10635.244225930574
1,16712996.616838042,943.9360590836823,11582.298121152025
2,16163794.87847651,958.5186843333594,12569.739871210919
3,15693050.531309485,972.7411931423917,13597.569476107257
4,15300763.575336965,986.6265624376999,14665.786935841039
5,14830019.228169939,1000.1786706577458,15774.392250412264
6,14516189.663391922,1013.4422195776202,16923.38541982093
7,14123902.7074194,1026.447720467688,18112.76644406704
8,13810073.142641382,1039.1330128685127,19342.535323150594
9,13417786.186668862,1051.6035281100678,20612.692057071592
10,13103956.621890843,1063.810381552125,21923.236645830035
11,12868584.448307332,1075.8192669627165,23274.169089425915
12,12554754.883529313,1087.5903921038444,24665.48938785924
13,12319382.7099458,1099.1557909316257,26097.197541130008
14,12084010.536362287,1110.5008319833134,27569.29354923822
15,11848638.362778775,1121.6640754392838,29081.777412183877
16,11613266.189195262,1132.6622512419185,30634.64912996698
17,11377894.01561175,1143.4899892615022,32227.90870258752
18,11142521.842028236,1154.1200613664037,33861.5561300455
19,10985607.059639227,1164.6013026797907,35535.59141234093
20,10750234.886055714,1174.9300252620758,37250.0145494738
21,10593320.103666706,1185.1247365268298,39004.825541444116
22,10436405.321277697,1195.132478122604,40800.02438825188
23,10201033.147694184,1204.9931945995618,42635.61108989707
24,10044118.365305176,1214.7753289124098,44511.585646379724
25,9887203.582916167,1224.4099867956502,46427.9480576998
26,9730288.800527157,1233.902218866272,48384.69832385733
27,9651831.409332654,1243.2931177242515,50381.836444852306
28,9494916.626943644,1252.6028805895319,52419.36242068474
29,9338001.844554637,1261.778332261446,54497.27625135458
30,9181087.062165627,1270.7894210450963,56615.577936861875
31,9102629.670971124,1279.7345137326731,58774.26747720663
32,8945714.888582114,1288.6028198507781,60973.34487238883
33,8867257.49738761,1297.2768815661022,63212.81012240845
34,8710342.714998601,1305.9844211418251,65492.66322726551
35,8631885.323804097,1314.4844051479306,67812.90418696005
36,8474970.541415088,1322.9634770120776,70173.53300149202
37,8396513.150220584,1331.3517424535798,72574.54967086141
38,8318055.75902608,1339.5544655169087,75015.95419506825
39,8161140.976637071,1347.7900720594632,77497.74657411255
40,8082683.585442567,1355.9419543953413,80019.9268079943
41,8004226.194248063,1363.9627369700258,82582.49489671346
42,7925768.803053559,1371.8708574910695,85185.45084027007
43,7847311.411859054,1379.6828333848132,87828.79463866414
44,7690396.629470048,1387.5261381362495,90512.52629189566
45,7611939.238275544,1395.288860147751,93236.6457999646
46,7533481.84708104,1402.9665219384658,96001.15316287098
47,7455024.455886537,1410.565553709328,98806.04838061481
48,7376567.064692033,1418.090190949131,101651.33145319612
49,7298109.67349753,1425.5424522755231,104537.0023806148
50,7219652.282303027,1432.9221320915592,107463.06116287099
51,7141194.891108523,1440.2268078751056,110429.50779996459
52,7062737.499914019,1447.4518617502802,113436.34229189566
53,7062737.499914019,1454.6086886094934,116483.56463866412
54,6984280.108719517,1461.8281524373997,119571.17484027006
55,6905822.717525013,1468.9764535014237,122699.17289671345
56,6827365.326330509,1476.041015063928,125867.5588079943
57,6748907.935136006,1483.0072268608735,129076.33257411252
58,6670450.543941502,1489.858539543436,132325.49419506823
59,6670450.543941502,1496.6567140880115,135615.0436708614
60,6591993.152746999,1503.5969651519495,138944.98100149204
61,6513535.761552495,1510.3992640691154,142315.30618696002
62,6435078.370357992,1517.0399851073212,145726.01922726553
63,6435078.370357992,1523.6346947050104,149177.12012240847
64,6356620.979163488,1530.3910690136042,152668.60887238884
65,6278163.587968985,1536.9435851712542,156200.4854772066
66,6278163.587968985,1543.2793914454874,159772.7499368619
67,6199706.196774482,1549.958204614343,163385.4022513546
68,6121248.805579978,1556.3776021585218,167038.44242068476
69,6121248.805579978,1562.6119130157322,170731.87044485228
70,6042791.414385474,1569.147107959527,174465.68632385734
71,5964334.023190971,1575.355256344085,178239.8900576998
72,5964334.023190971,1581.632516324518,182054.48164637975
73,5885876.631996468,1587.9251898628881,185909.46108989706
74,5885876.631996468,1593.888466396667,189804.8283882519
75,5807419.240801964,1600.2614255876572,193740.58354144412
76,5728961.849607461,1606.1825465043673,197716.72654947385
77,5728961.849607461,1612.4039221394407,201733.2574123409
78,5650504.458412957,1618.3422852807403,205790.1761300455
79,5650504.458412957,1624.3847242693075,209887.48270258753
80,5572047.067218454,1630.3169005678053,214025.17712996702
81,5572047.067218454,1636.2276047821558,218203.25941218383
82,5493589.676023951,1642.1231741231038,222421.72954923823
83,5493589.676023951,1647.9478089230886,226680.58754113002
84,5415132.284829447,1653.7695480674042,230979.83338785928
85,5415132.284829447,1659.5519042003282,235319.46708942586
86,5336674.893634943,1665.2560532813939,239699.48864583002
87,5336674.893634943,1671.0377363361156,244119.8980570716
88,5258217.5024404405,1676.5743382321436,248580.69532315063
89,5258217.5024404405,1682.3944897399238,253081.88044406704
90,5179760.111245937,1687.7077951696574,257623.4534198209
91,5179760.111245937,1693.602848674292,262205.41425041226
92,5179760.111245937,1698.9169073516618,266827.7629358411
93,5101302.720051433,1704.6352532670046,271490.49947610724
94,5101302.720051433,1710.0829235520812,276193.6238712109
95,5022845.32885693,1715.4562427571311,280937.136121152
96,5022845.32885693,1721.0683418492854,285721.0362259306
97,5022845.32885693,1726.1328874059564,290545.3241855465
98,4944387.937662426,1731.8268441237121,295410.0
